,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.121,https://api.spotify.com/v1/audio-analysis/4WcFUZMb0wiUZBePgnpgDa,0.397,230253,0.747,4WcFUZMb0wiUZBePgnpgDa,4.68e-05,4,0.312,-7.677,0,0.0771,110.172,3,https://api.spotify.com/v1/tracks/4WcFUZMb0wiUZBePgnpgDa,audio_features,spotify:track:4WcFUZMb0wiUZBePgnpgDa,0.766
0,0.0338,https://api.spotify.com/v1/audio-analysis/1UIcUADr3ueN31xSnEuJuD,0.654,180227,0.801,1UIcUADr3ueN31xSnEuJuD,0.000108,7,0.348,-7.529,1,0.085,81.095,4,https://api.spotify.com/v1/tracks/1UIcUADr3ueN31xSnEuJuD,audio_features,spotify:track:1UIcUADr3ueN31xSnEuJuD,0.458
0,0.0404,https://api.spotify.com/v1/audio-analysis/579cIDb3DYSkR0AULxrAvW,0.53,230699,0.609,579cIDb3DYSkR0AULxrAvW,2.09e-06,11,0.108,-6.407,0,0.0378,141.855,4,https://api.spotify.com/v1/tracks/579cIDb3DYSkR0AULxrAvW,audio_features,spotify:track:579cIDb3DYSkR0AULxrAvW,0.436
0,0.562,https://api.spotify.com/v1/audio-analysis/6qZjm61s6u8Ead9sWxCDro,0.598,211227,0.553,6qZjm61s6u8Ead9sWxCDro,0.157,9,0.257,-6.742,0,0.0397,123.075,4,https://api.spotify.com/v1/tracks/6qZjm61s6u8Ead9sWxCDro,audio_features,spotify:track:6qZjm61s6u8Ead9sWxCDro,0.533
0,0.000636,https://api.spotify.com/v1/audio-analysis/3LBkRFoMoyWzhdUeIMJKrc,0.383,180400,0.917,3LBkRFoMoyWzhdUeIMJKrc,4.35e-05,9,0.409,-4.516,0,0.195,79.362,4,https://api.spotify.com/v1/tracks/3LBkRFoMoyWzhdUeIMJKrc,audio_features,spotify:track:3LBkRFoMoyWzhdUeIMJKrc,0.443
0,0.037,https://api.spotify.com/v1/audio-analysis/4l7F39cJ9mejxpuDp8rUX0,0.496,272067,0.948,4l7F39cJ9mejxpuDp8rUX0,0.121,5,0.196,-4.584,0,0.0566,112.951,4,https://api.spotify.com/v1/tracks/4l7F39cJ9mejxpuDp8rUX0,audio_features,spotify:track:4l7F39cJ9mejxpuDp8rUX0,0.354
0,0.000169,https://api.spotify.com/v1/audio-analysis/6KBR2f0QJBdnLddWSJnQbs,0.367,241765,0.729,6KBR2f0QJBdnLddWSJnQbs,0.000894,4,0.124,-5.146,0,0.0486,169.804,3,https://api.spotify.com/v1/tracks/6KBR2f0QJBdnLddWSJnQbs,audio_features,spotify:track:6KBR2f0QJBdnLddWSJnQbs,0.303
0,0.000449,https://api.spotify.com/v1/audio-analysis/7KLmBGIrxaOaoTcUQrLKub,0.4,209049,0.792,7KLmBGIrxaOaoTcUQrLKub,0.0848,11,0.185,-4.118,1,0.0368,117.819,4,https://api.spotify.com/v1/tracks/7KLmBGIrxaOaoTcUQrLKub,audio_features,spotify:track:7KLmBGIrxaOaoTcUQrLKub,0.338
0,0.00269,https://api.spotify.com/v1/audio-analysis/3Vm5T4ZUrPXXkJ5YXqfvMX,0.438,195987,0.778,3Vm5T4ZUrPXXkJ5YXqfvMX,0.779,1,0.0893,-7.452,1,0.0683,95.775,4,https://api.spotify.com/v1/tracks/3Vm5T4ZUrPXXkJ5YXqfvMX,audio_features,spotify:track:3Vm5T4ZUrPXXkJ5YXqfvMX,0.457
0,0.00282,https://api.spotify.com/v1/audio-analysis/7LOzA341dmGGFwDyOvVDEC,0.462,221106,0.857,7LOzA341dmGGFwDyOvVDEC,4.78e-05,2,0.359,-5.35,1,0.0417,148.008,4,https://api.spotify.com/v1/tracks/7LOzA341dmGGFwDyOvVDEC,audio_features,spotify:track:7LOzA341dmGGFwDyOvVDEC,0.698
0,0.000973,https://api.spotify.com/v1/audio-analysis/5IpfwhirP044EQ2AqqVKCj,0.647,217493,0.71,5IpfwhirP044EQ2AqqVKCj,0.703,0,0.0777,-4.692,1,0.029,110.059,4,https://api.spotify.com/v1/tracks/5IpfwhirP044EQ2AqqVKCj,audio_features,spotify:track:5IpfwhirP044EQ2AqqVKCj,0.268
0,0.276,https://api.spotify.com/v1/audio-analysis/5udAfExLZ6ZsB0vxV7JirF,0.626,135853,0.949,5udAfExLZ6ZsB0vxV7JirF,0.126,5,0.0989,-3.94,0,0.0451,158.516,4,https://api.spotify.com/v1/tracks/5udAfExLZ6ZsB0vxV7JirF,audio_features,spotify:track:5udAfExLZ6ZsB0vxV7JirF,0.967
